Organisation,Type,Region,Priority (1 = first),Why they matter,Role or person to reach,Named public contact (papers / programme leads only),Website,Channel,Pitch angle,Email,Status,Notes
Kansas DOT,State DOT,KS,3,Kansas City metro with MoDOT and MARC,Bureau of Transportation Safety; Traffic,,https://ksdot.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Louisiana DOTD,State DOT,LA,3,Baton Rouge / New Orleans corridors,ITS section; Traffic Engineering,,https://dotd.la.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Maine DOT,State DOT,ME,3,,Traffic Engineering,,https://maine.gov/mdot,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Mississippi DOT,State DOT,MS,3,,Traffic Engineering,,https://mdot.ms.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Montana DOT,State DOT,MT,3,,Traffic and Safety,,https://mdt.mt.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Nebraska DOT,State DOT,NE,3,,Traffic Engineering,,https://dot.nebraska.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
New Hampshire DOT,State DOT,NH,3,,Bureau of Traffic,,https://nh.gov/dot,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
New Mexico DOT,State DOT,NM,3,,Traffic Technical Support,,https://dot.nm.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
North Dakota DOT,State DOT,ND,3,,Traffic Operations,,https://dot.nd.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Oklahoma DOT,State DOT,OK,3,,Traffic Engineering,,https://oklahoma.gov/odot,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Puerto Rico DTOP,State DOT,PR,3,,Highways and Transportation Authority,,https://dtop.pr.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Rhode Island DOT,State DOT,RI,3,,Traffic Management,,https://dot.ri.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
South Carolina DOT,State DOT,SC,3,Growing interstate congestion; ITS expansion,Traffic Engineering; ITS,,https://scdot.org,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
South Dakota DOT,State DOT,SD,3,,Operations,,https://dot.sd.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Vermont Agency of Transportation,State DOT,VT,3,,Operations and Safety,,https://vtrans.vermont.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
West Virginia DOT,State DOT,WV,3,,Traffic Engineering,,https://transportation.wv.gov,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
Wyoming DOT,State DOT,WY,3,"I-80 VSL corridor, one of the oldest rural VSL systems",Traffic Program; ITS,,https://dot.state.wy.us,Agency directory (traffic operations / TSMO division); ITE state section; AASHTO CTSO,"A calibrated twin of one of your corridors from public map data and your detector data, with the calibration report your reviewers expect, in a day of machine time; pilot priced as a study.",,not contacted,
"Iowa State University, InTrans",University / research lab,IA,3,Iowa DOT research partner,InTrans director,,https://intrans.iastate.edu,University directory (public academic e-mail); cite the FlowState I-24 results in the first line,An open engine and a published validation record on I-24 MOTION data; collaboration on the merge and controller work; free or near-free licence.,,not contacted,
"Penn State, Larson Transportation Institute",University / research lab,PA,3,,Institute director,,https://larson.psu.edu,University directory (public academic e-mail); cite the FlowState I-24 results in the first line,An open engine and a published validation record on I-24 MOTION data; collaboration on the merge and controller work; free or near-free licence.,,not contacted,
"TU Delft, Transport and Planning",University / research lab,Netherlands,3,Traffic-flow theory school (Hoogendoorn lineage),Traffic flow faculty,,https://tudelft.nl,University directory (public academic e-mail); cite the FlowState I-24 results in the first line,An open engine and a published validation record on I-24 MOTION data; collaboration on the merge and controller work; free or near-free licence.,,not contacted,
"TU Munich, Chair of Traffic Engineering and Control",University / research lab,Germany,3,SUMO-adjacent European research,Chair,,https://tum.de,University directory (public academic e-mail); cite the FlowState I-24 results in the first line,An open engine and a published validation record on I-24 MOTION data; collaboration on the merge and controller work; free or near-free licence.,,not contacted,
"UCLA, Institute of Transportation Studies",University / research lab,CA,3,,ITS director,,https://its.ucla.edu,University directory (public academic e-mail); cite the FlowState I-24 results in the first line,An open engine and a published validation record on I-24 MOTION data; collaboration on the merge and controller work; free or near-free licence.,,not contacted,
"University of Central Florida, Civil Engineering",University / research lab,FL,3,Real-time crash risk and traffic safety modeling,Traffic safety faculty,,https://ucf.edu,University directory (public academic e-mail); cite the FlowState I-24 results in the first line,An open engine and a published validation record on I-24 MOTION data; collaboration on the merge and controller work; free or near-free licence.,,not contacted,
"University of South Florida, CUTR",University / research lab,FL,3,,CUTR director,,https://cutr.usf.edu,University directory (public academic e-mail); cite the FlowState I-24 results in the first line,An open engine and a published validation record on I-24 MOTION data; collaboration on the merge and controller work; free or near-free licence.,,not contacted,
"University of Toronto, Transportation Research Institute",University / research lab,Canada,3,International academic route,UTTRI director,,https://uttri.utoronto.ca,University directory (public academic e-mail); cite the FlowState I-24 results in the first line,An open engine and a published validation record on I-24 MOTION data; collaboration on the merge and controller work; free or near-free licence.,,not contacted,
"University of Washington, STAR Lab",University / research lab,WA,3,Smart transportation applications; WSDOT partner,STAR Lab director,,https://uwstarlab.org,University directory (public academic e-mail); cite the FlowState I-24 results in the first line,An open engine and a published validation record on I-24 MOTION data; collaboration on the merge and controller work; free or near-free licence.,,not contacted,
"University of Wisconsin–Madison, TOPS Lab",University / research lab,WI,3,WisDOT operations research,TOPS Lab director,,https://topslab.wisc.edu,University directory (public academic e-mail); cite the FlowState I-24 results in the first line,An open engine and a published validation record on I-24 MOTION data; collaboration on the merge and controller work; free or near-free licence.,,not contacted,
